Source,Target
Erde,Gesprochener Artikel
Erde,Lesenswert
Erde,Erde
Erde,Planet des Sonnensystems
Erde,Erde (Planet)
Erde (Planet),Planet des Sonnensystems als Thema
Erde (Planet),Erde
Planet des Sonnensystems,Sonnensystem
Planet des Sonnensystems,Substellares Objekt
Erde,Räumliche Systematik
Lesenswert,Bewertete Seite
Gesprochener Artikel,Gesprochene Wikipedia
Bewertete Seite,Bewertung
Gesprochene Wikipedia,Publikationen
Substellares Objekt,Astronomisches Objekt
Räumliche Systematik,!Hauptkategorie
Sonnensystem,Astronomie
Planet des Sonnensystems als Thema,Sonnensystem
Publikationen,Über Wikipedia
Astronomie,Naturwissenschaft
Astronomie,Weltraumforschung
Bewertung,Wartung
Bewertung,Autorenportal
Astronomisches Objekt,Astronomie
Autorenportal,Gemeinschaft
Wartung,
Naturwissenschaft,Naturwissenschaft und Technik
Naturwissenschaft,Wissenschaft nach Fachgebiet
Naturwissenschaft,Umwelt und Natur
Über Wikipedia,
Weltraumforschung,Forschung
Weltraumforschung,Weltraum
Weltraum,Räumliche Systematik
Umwelt und Natur,Sachsystematik
Wissenschaft nach Fachgebiet,Wissenschaft
Wissenschaft nach Fachgebiet,Fachwissen
Forschung,Wissenschaftspraxis
Naturwissenschaft und Technik,Sachsystematik
,!Wikipedia
Gemeinschaft,
Fachwissen,Wissen
!Wikipedia,!Hauptkategorie
Wissenschaftspraxis,Wissenschaft
Wissenschaftspraxis,Wissenspraxis
Wissenschaft,Wissen
Sachsystematik,!Hauptkategorie
Wissenspraxis,Wissen
Wissen,Sachsystematik
