Source,Target
de.wikipedia.org,Alternative-Rock-Band
de.wikipedia.org,Echo-Pop-Preisträger
de.wikipedia.org,Grammy-Preisträger
de.wikipedia.org,Green Day
de.wikipedia.org,Punkband
de.wikipedia.org,US-amerikanische Band
de.wikipedia.org,Pop-Punk-Band
Pop-Punk-Band,Popband
Pop-Punk-Band,Punkband
Popband,Musikgruppe nach Genre
Popband,Popmusik
Popmusik,Musik nach Genre
Musik nach Genre,Musik
Musik,Kunst nach Gattung
Kunst nach Gattung,Kunst und Kultur
Kunst und Kultur,Sachsystematik
Sachsystematik,!Hauptkategorie
Musikgruppe nach Genre,Musik nach Genre
Musikgruppe nach Genre,Musikgruppe
Musikgruppe,Künstlergruppe (Musik)
Künstlergruppe (Musik),Künstlergruppe
Künstlergruppe (Musik),Musik
Künstlergruppe,Personengruppe nach Sachgebiet
Künstlergruppe,Künstlergruppen
Künstlergruppen,Personen (Kunst und Kultur)
Künstlergruppen,Soziale Gruppen
Soziale Gruppen,Organisationen (Gesellschaft)
Soziale Gruppen,Personengruppen
Personengruppen,Personen
Personen,Sachsystematik
Organisationen (Gesellschaft),Gesellschaft
Organisationen (Gesellschaft),Organisationen nach Sachgebiet
Organisationen nach Sachgebiet,Organisationen
Organisationen,Sachsystematik
Gesellschaft,Sachsystematik
Personen (Kunst und Kultur),Personen nach Sachgebiet
Personen (Kunst und Kultur),Kunst und Kultur
Personen nach Sachgebiet,Personen
Personengruppe nach Sachgebiet,Personengruppe
Personengruppe nach Sachgebiet,Personen nach Sachgebiet
Personengruppe,Personengruppen
US-amerikanische Band,Band nach Staat
US-amerikanische Band,Musikgruppe (Vereinigte Staaten)
Musikgruppe (Vereinigte Staaten),Musikgruppe nach Staat
Musikgruppe (Vereinigte Staaten),Musik (Vereinigte Staaten)
Musikgruppe (Vereinigte Staaten),Künstlergruppe (Vereinigte Staaten)
Künstlergruppe (Vereinigte Staaten),Kunst (Vereinigte Staaten)
Künstlergruppe (Vereinigte Staaten),Künstlergruppe
Kunst (Vereinigte Staaten),Kunst nach Staat
Kunst (Vereinigte Staaten),Kultur (Vereinigte Staaten)
Kultur (Vereinigte Staaten),Vereinigte Staaten
Kultur (Vereinigte Staaten),Kultur nach Staat
Kultur (Vereinigte Staaten),Kultur (Nordamerika)
Kultur (Nordamerika),Kultur (Amerika)
Kultur (Nordamerika),Nordamerika
Nordamerika,Amerika
Nordamerika,Kontinent als Thema
Kontinent als Thema,Erde
Erde,Räumliche Systematik
Räumliche Systematik,!Hauptkategorie
Amerika,Kontinent als Thema
Kultur (Amerika),Amerika
Kultur (Amerika),Kultur nach Kontinent
Kultur nach Kontinent,Kultur nach räumlicher Zuordnung
Kultur nach Kontinent,Thema nach Kontinent
Thema nach Kontinent,Räumliche Sachsystematik
Thema nach Kontinent,Erde
Räumliche Sachsystematik,Sachsystematik
Räumliche Sachsystematik,Räumliche Systematik
Kultur nach räumlicher Zuordnung,Kunst und Kultur nach räumlicher Zuordnung
Kunst und Kultur nach räumlicher Zuordnung,Räumliche Sachsystematik
Kunst und Kultur nach räumlicher Zuordnung,Kunst und Kultur
Kultur nach Staat,Thema nach Staat
Kultur nach Staat,Kultur nach räumlicher Zuordnung
Thema nach Staat,Staaten
Thema nach Staat,Räumliche Sachsystematik
Staaten,Erde
Vereinigte Staaten,Staat als Thema
Staat als Thema,Staaten
Kunst nach Staat,Kunst nach räumlicher Zuordnung
Kunst nach Staat,Kultur nach Staat
Kunst nach räumlicher Zuordnung,Kunst und Kultur nach räumlicher Zuordnung
Musik (Vereinigte Staaten),Kultur (Vereinigte Staaten)
Musik (Vereinigte Staaten),Musik nach Staat
Musik nach Staat,Musik nach räumlicher Zuordnung
Musik nach Staat,Kultur nach Staat
Musik nach räumlicher Zuordnung,Musik
Musik nach räumlicher Zuordnung,Kultur nach räumlicher Zuordnung
Musikgruppe nach Staat,Musikgruppe
Musikgruppe nach Staat,Musik nach Staat
Band nach Staat,Musikgruppe nach Staat
Punkband,Punk
Punkband,Musikgruppe nach Genre
Punk,Musik nach Genre
Punk,Jugendkultur
Punk,Subkultur
Subkultur,Kunst und Kultur
Subkultur,Soziale Bewegungen
Soziale Bewegungen,Gesellschaft
Jugendkultur,Jugend
Jugendkultur,Subkultur
Jugend,Kindheit und Jugend
Kindheit und Jugend,Lebensstadien
Lebensstadien,Sachsystematik
Green Day,Musikgruppe als Thema
Musikgruppe als Thema,Musik
Musikgruppe als Thema,Künstlergruppe als Thema
Künstlergruppe als Thema,Personengruppe als Thema
Künstlergruppe als Thema,Künstlergruppen
Personengruppe als Thema,Personengruppen
Grammy-Preisträger,Grammy Awards
Grammy-Preisträger,Musikpreisträger
Grammy-Preisträger,Preisträger (Vereinigte Staaten)
Preisträger (Vereinigte Staaten),Preisträger nach Staat
Preisträger (Vereinigte Staaten),Gesellschaft (Vereinigte Staaten)
Gesellschaft (Vereinigte Staaten),Vereinigte Staaten
Gesellschaft (Vereinigte Staaten),Gesellschaft nach Staat
Gesellschaft (Vereinigte Staaten),Gesellschaft (Amerika)
Gesellschaft (Amerika),Gesellschaft nach Kontinent
Gesellschaft (Amerika),Amerika
Gesellschaft nach Kontinent,Thema nach Kontinent
Gesellschaft nach Kontinent,Gesellschaft nach räumlicher Zuordnung
Gesellschaft nach räumlicher Zuordnung,Räumliche Sachsystematik
Gesellschaft nach räumlicher Zuordnung,Gesellschaft
Gesellschaft nach Staat,Thema nach Staat
Gesellschaft nach Staat,Gesellschaft nach räumlicher Zuordnung
Preisträger nach Staat,Preisträger
Preisträger nach Staat,Gesellschaft nach Staat
Preisträger,Preisverleihungen
Preisträger,Auszeichnungen
Auszeichnungen,Gesellschaft
Preisverleihungen,Veranstaltungen
Preisverleihungen,Auszeichnungen
Veranstaltungen,Ereignisse
Ereignisse,Sachsystematik
Musikpreisträger,Preisträger
Musikpreisträger,Musik
Grammy Awards,Musikpreis als Thema
Musikpreis als Thema,Musikalische Veranstaltung als Thema
Musikpreis als Thema,Auszeichnung als Thema
Auszeichnung als Thema,Auszeichnungen
Musikalische Veranstaltung als Thema,Musik
Musikalische Veranstaltung als Thema,Veranstaltung (Kunst und Kultur) als Thema
Veranstaltung (Kunst und Kultur) als Thema,Veranstaltungen (Kunst und Kultur)
Veranstaltung (Kunst und Kultur) als Thema,Veranstaltung als Thema
Veranstaltung als Thema,Veranstaltungen
Veranstaltung als Thema,Ereignis als Thema
Ereignis als Thema,Ereignisse
Veranstaltungen (Kunst und Kultur),Veranstaltungen
Veranstaltungen (Kunst und Kultur),Kunst und Kultur
Echo-Pop-Preisträger,Echo (Musikpreis)
Echo-Pop-Preisträger,Musikpreisträger
Echo-Pop-Preisträger,Preisträger (Deutschland)
Preisträger (Deutschland),Preisträger nach Staat
Preisträger (Deutschland),Gesellschaft (Deutschland)
Gesellschaft (Deutschland),Deutschland
Gesellschaft (Deutschland),Gesellschaft nach Staat
Gesellschaft (Deutschland),Gesellschaft (Europa)
Gesellschaft (Europa),Gesellschaft nach Kontinent
Gesellschaft (Europa),Europa
Europa,Kontinent als Thema
Europa,Eurasien
Eurasien,Kontinent als Thema
Deutschland,Staat als Thema
Echo (Musikpreis),Musikpreis (Deutschland) als Thema
Musikpreis (Deutschland) als Thema,Musikpreis als Thema
Musikpreis (Deutschland) als Thema,Musik (Deutschland)
Musik (Deutschland),Musik nach Staat
Musik (Deutschland),Kunst (Deutschland)
Kunst (Deutschland),Kunst nach Staat
Kunst (Deutschland),Kultur (Deutschland)
Kultur (Deutschland),Kultur nach Staat
Kultur (Deutschland),Deutschland
Kultur (Deutschland),Kultur (Europa)
Kultur (Europa),Kultur nach Kontinent
