Source,Target
de.wikipedia.org,Lesenswert
de.wikipedia.org,Schokolade als Thema
Schokolade als Thema,Süßware als Thema
Schokolade als Thema,Kakao als Thema
Kakao als Thema,Lebensmittel als Thema
Kakao als Thema,Genussmittel
Genussmittel,Lebensmittel als Thema
Lebensmittel als Thema,Essen und Trinken
Essen und Trinken,Alltagskultur
Essen und Trinken,Handlung und Verhalten
Handlung und Verhalten,Anthropologie
Anthropologie,Sozialwissenschaft
Anthropologie,Kulturwissenschaft
Anthropologie,Humanwissenschaften
Humanwissenschaften,Wissenschaft nach Fachgebiet
Wissenschaft nach Fachgebiet,Wissenschaft
Wissenschaft nach Fachgebiet,Fachwissen
Fachwissen,Wissen
Wissen,Sachsystematik
Sachsystematik,!Hauptkategorie
Wissenschaft,Wissen
Kulturwissenschaft,Kulturwissenschaften
Kulturwissenschaften,Geisteswissenschaft
Kulturwissenschaften,Kunst und Kultur
Kunst und Kultur,Sachsystematik
Geisteswissenschaft,Wissenschaft nach Fachgebiet
Sozialwissenschaft,Wissenschaft nach Fachgebiet
Sozialwissenschaft,Gesellschaft
Gesellschaft,Sachsystematik
Alltagskultur,Kunst und Kultur
Alltagskultur,Gesellschaft
Süßware als Thema,Lebensmittel als Thema
Lesenswert,Bewertete Seite
Bewertete Seite,Bewertung
Bewertung,Wartung
Bewertung,Autorenportal
Autorenportal,Gemeinschaft
Gemeinschaft,
,!Wikipedia
!Wikipedia,!Hauptkategorie
Wartung,
